,Name,JapaneseName,Station,Restaurant_Type_1,Restaurant_Type_2,DinnerLowPrice,DinnerHighPrice,LunchLowPrice,LunchHighPrice,TotalRating,DinnerRating,LunchRating,ReviewNum,Lat,Long,IsJapaneseCuisine
1,Orudeidainingurajou,オールデイダイニング　ラジョウ,Kyoto,Buffet style,Cafe,"¥4,000","¥4,999","¥4,000","¥2,999",3.39,3.2,3.38,56,34.98617515,135.7613139,TRUE
2,Steak Frites Gaspard zinzin,ステックフリット ガスパール ザンザン,Karasuma,Bistro,Steak,"¥3,000","¥3,999","¥1,000","¥1,999",3.18,3.06,3.33,70,35.0058258,135.7598568,TRUE
3,KAZUMA,和馬,Sanjo,Izakaya (Tavern),Japanese food (other),"¥3,000","¥3,999",,,3.28,3.28,,7,35.00658257,135.7702467,TRUE
4,okonomiyakiteppanyakimiki,お好み焼き 鉄板焼き 三喜,Tambaguchi,Okonomiyaki,Izakaya (Tavern),"¥3,000","¥3,999",,,3.14,3.14,,16,34.99592443,135.7482665,TRUE
5,Shaofeiyan,小肥羊 京都河原町店,Kyoto Shiyakusho Mae,Chinese hot pot / fire pot,Chinese,"¥4,000","¥4,999","¥1,000","¥1,999",3.16,3.16,3.05,23,35.00790072,135.7682018,FALSE
6,okuta-va,OCTAVAR,Kyoto,Bar,Italian,"¥4,000","¥4,999","¥1,000","¥1,999",3.08,3,3.11,24,34.98349709,135.7605594,FALSE
7,Resort dining&bar HaLe,Resort dining&bar HaLe 河原町店,Sanjo,Italian,Bar,"¥3,000","¥3,999","¥1,000","¥1,999",3.04,3.05,3,22,35.00719471,135.7694681,FALSE
8,Sumika,棲家,Kawaramachi,Izakaya (Tavern),Creative cuisine,"¥3,000","¥3,999",,,3.34,3.34,,23,35.00470409,135.7701821,TRUE
9,Gayagaya,我家我家,Sanjo,Izakaya (Tavern),Bar,"¥3,000","¥3,999",,,3.03,3.04,,3,35.00717416,135.7699678,TRUE
10,Ishibekoujimamecha,石塀小路 豆ちゃ 京都,Gion Shijo,Izakaya (Tavern),Kyoto Cuisine,"¥4,000","¥4,999",,,3.56,3.56,,92,35.00081306,135.7791554,TRUE
11,nagoyako-chintokoshitsuizakayatorisai,名古屋コーチンと個室居酒屋 鶏彩 河原町店,Sanjo,Izakaya (Tavern),Japanese food (other),"¥3,000","¥3,999",,,3.04,3.04,,4,35.0073958,135.7692742,TRUE
12,Gionabesu,祇園 Abbesses,Gion Shijo,French,Italian,"¥8,000","¥9,999","¥6,000","¥7,999",3.58,3.54,3.56,120,35.0019537,135.7748213,FALSE
13,nishikimachinoakarishoutengai,錦 街の灯り商店街,Karasuma,Izakaya (Tavern),Bar,"¥2,000","¥2,999","¥2,000","¥2,999",3,3,,2,35.00516313,135.7619763,TRUE
14,gionni-yongo,祗園245,Sanjo Keihan,Italian,French,"¥10,000","¥14,999","¥6,000","¥7,999",3.85,3.83,3.75,39,35.00630102,135.7756227,FALSE
15,Mumon,無門 三条室町店,Karasuma Oike,Shabu Shabu (Japanese Steamboat),Fugu (Blowfish),"¥5,000","¥5,999",¥0,¥999,3.05,3.05,,13,35.00933483,135.7578354,TRUE
16,itariandainingutoreotto,イタリアンダイニングTREOTTO 西院店,Saiin,Italian,Dining bar,"¥3,000","¥3,999",,,3.04,3.04,3.03,2,35.00372858,135.7312551,FALSE
17,Sukiyakisunibiizakayahokuto,すき焼き炭火居酒屋 北斗,Kyoto,Sukiyaki,Yakitori (Grilled chicken),"¥3,000","¥3,999",,,3.09,3.1,,19,34.98906451,135.7586046,TRUE
18,Sakaean,さかえ庵,Karasuma,Izakaya (Tavern),Nihonshu (Japanese sake),"¥2,000","¥2,999",¥0,¥999,3.09,3.1,3.06,31,35.00468374,135.7624141,TRUE
19,biakicchinnikubarujikabiyajikabiya,ビアキッチン肉バル ジカビヤ 京都河原町店,Kawaramachi,Bar,Izakaya (Tavern),"¥3,000","¥3,999","¥1,000","¥1,999",3.06,3.06,,21,35.00626924,135.768979,TRUE
